,geometry,avg_temp,avg_min_month,avg_max_month
42600,POINT (56.5 30.5),15.627315521240234,3.9440205,27.184874
42601,POINT (56.5 31.5),17.412909189860027,5.02981,29.401937
42602,POINT (56.5 32.5),19.58797836303711,6.3567142,32.07504
42603,POINT (56.5 33.5),19.954425811767578,6.1295333,32.788555
42604,POINT (56.5 34.5),19.809893290201824,5.8214583,32.751347
42605,POINT (56.5 35.5),17.919570922851562,4.255074,30.637566
42606,POINT (56.5 36.5),15.926219940185547,2.9160597,28.35789
42607,POINT (56.5 37.5),13.796433766682943,1.4400796,26.15008
42608,POINT (56.5 38.5),14.652388254801432,1.151251,28.22576
42609,POINT (56.5 39.5),15.837963104248047,0.5143675,31.072098
42610,POINT (56.5 40.5),14.497530619303385,-1.4098941,30.449875
42611,POINT (56.5 41.5),12.962886810302734,-3.257107,29.217222
42612,POINT (56.5 42.5),11.698960622151693,-4.8057117,28.074541
42613,POINT (56.5 43.5),10.346986134847006,-6.7582817,27.20792
42614,POINT (56.5 44.5),9.564459482828775,-8.222499,26.92867
42615,POINT (56.5 45.5),9.381744384765625,-9.167295,27.116192
42616,POINT (56.5 46.5),8.482187906901041,-10.63351,26.558258
42617,POINT (56.5 47.5),7.268792470296224,-12.173976,25.564585
42618,POINT (56.5 48.5),6.046073277791341,-13.466173,24.382757
42619,POINT (56.5 49.5),5.043594678243001,-14.362813,23.22366
42620,POINT (56.5 50.5),4.309289296468099,-14.881936,22.180384
42621,POINT (56.5 51.5),3.7779947916666665,-14.827818,21.139008
42622,POINT (56.5 52.5),2.6808977127075195,-15.400288,19.548992
42623,POINT (56.5 53.5),2.081909656524658,-15.777399,18.60829
42624,POINT (56.5 54.5),2.7628819147745767,-14.713075,18.996552
42625,POINT (56.5 55.5),2.290075937906901,-14.981751,18.499495
42626,POINT (56.5 56.5),1.747118314107259,-15.871122,18.351053
42627,POINT (56.5 57.5),1.4011038144429524,-16.104187,18.093348
42628,POINT (56.5 58.5),1.3128039042154949,-15.2479725,17.433207
42629,POINT (56.5 59.5),0.8898879686991373,-15.825875,17.399353
42630,POINT (56.5 60.5),0.14962474505106607,-16.938679,17.211723
42631,POINT (56.5 61.5),-0.7459922631581625,-17.898167,16.636734
42632,POINT (56.5 62.5),-1.3734699885050456,-18.66438,16.38674
42633,POINT (56.5 63.5),-2.027321179707845,-19.250658,15.998308
42634,POINT (56.5 64.5),-2.775353749593099,-19.885235,15.60146
42635,POINT (56.5 65.5),-3.3042774200439453,-19.82516,15.0959635
42636,POINT (56.5 66.5),-4.269656499226888,-19.77443,13.804952
42637,POINT (56.5 67.5),-5.347806930541992,-20.242638,12.898258
42638,POINT (56.5 68.5),-5.4855086008707685,-18.910223,10.359053
42640,POINT (56.5 70.5),-6.170734405517578,-17.967459,6.0415506
42641,POINT (56.5 71.5),-6.619592030843099,-17.625278,4.9022107
42643,POINT (56.5 73.5),-9.390795389811197,-19.412464,3.6572208
42644,POINT (56.5 74.5),-9.576965967814127,-19.349777,3.5768206
42645,POINT (56.5 75.5),-7.80510139465332,-17.040106,2.0240312
42650,POINT (56.5 80.5),-13.05410130818685,-24.130949,1.1804478
42651,POINT (56.5 81.5),-13.250882466634115,-24.175283,0.14776169
42660,POINT (57.5 -89.5),-49.142974853515625,-60.23187,-26.447433
42661,POINT (57.5 -88.5),-49.835296630859375,-61.269962,-26.580282
42662,POINT (57.5 -87.5),-49.160064697265625,-60.774284,-25.781157
42663,POINT (57.5 -86.5),-49.46056111653646,-61.140137,-26.158752
42664,POINT (57.5 -85.5),-50.64242045084635,-62.326653,-27.498005
42665,POINT (57.5 -84.5),-51.41441853841146,-63.055332,-28.4706
42666,POINT (57.5 -83.5),-52.86338806152344,-64.39323,-30.208473
42667,POINT (57.5 -82.5),-54.616058349609375,-66.00015,-32.3442
42668,POINT (57.5 -81.5),-55.22137451171875,-66.45392,-33.45567
